Date,Exchange_Rate,Oil_Price,SP500_Index,Coffee_Price,Exchange_Rate_Lag30,Exchange_Rate_Lag85,Interest Rate,IPC,PIB
2010-01-31,1957.199951171875,-0.29533788546647793,-1.3278244286224716,-0.5839291031355706,-0.7901657647425253,1.2958433556587035,0.1407854227060285,0.49537037037037024,-1.941099699878331
2010-02-28,1937.5,-0.04480477860751627,-1.302565529207441,-0.6397296256444461,-0.5795704915962612,1.2958433556587035,0.13103188783056258,0.5601851851851851,-1.927460493049541
2010-03-31,1915.550048828125,0.1640410456298011,-1.2489954837164972,-0.4902261873649947,-0.8805402497980075,1.2958433556587035,0.12023333136129677,0.29166666666666663,-1.9123599426319517
2010-04-30,1954.0,0.35776516223830274,-1.2347575399956665,-0.5102301300774958,-0.7755217344085226,1.4804489400456458,0.1097831154232976,0.38888888888888884,-1.880036531726785
2010-05-31,1931.199951171875,-0.19071073550352538,-1.3150052141816109,-0.530234072789997,-0.8095517056151834,1.4804489400456458,0.11076332947639678,0.2222222222222222,-1.8466356737914444
2010-06-30,1915.0,-0.1502491917611469,-1.3634277968765078,0.1004185038322659,-0.8374450967275696,1.4804489400456458,0.11293322481236007,0.22685185185185183,-1.8143122628862778
2010-07-31,1840.0,-0.020691305000224803,-1.304949546220947,0.3552065106395623,-0.9702175703234285,1.4804489400456458,0.11517544999285545,0.15740740740740738,-1.7987613455583833
2010-08-31,1826.0,-0.16537121120346537,-1.3480678798688985,0.3657349353621444,-1.0402299139164184,1.4804489400456458,0.11741767517335083,0.22685185185185183,-1.7832104282304888
2010-09-30,1763.0,0.1481017629968045,-1.2722829244159874,0.49734024439442065,-1.1202839804585165,1.4804489400456458,0.11958757050931412,0.11111111111111109,-1.768161153397043
2010-10-31,1833.0,0.1824327414618375,-1.2375869427431003,0.9268998445549607,-1.1455274653656762,1.4804489400456458,0.1218297956898095,0.13425925925925924,-1.7203444738029599
2010-11-30,1942.0,0.2956425580876726,-1.2398224307135262,0.8742577209420502,-1.1919700296668987,1.0968616822792119,0.1239996910257728,0.26388888888888884,-1.6740702677441688
2010-12-31,1915.0,0.6565249044983446,-1.1762297460931934,1.707056180758699,-1.1611478665372617,0.9647392684298041,0.12624191620626818,0.47685185185185175,-1.6262535881500857
2011-01-31,1866.4000244140625,0.9123713134439736,-1.1527361772912048,1.7976006976333099,-1.028235789787642,0.9768334562205132,0.12848414138676356,0.5972222222222222,-1.584016508484374
2011-02-28,1906.0,1.3533588605217188,-1.1188321826853176,2.364030140489441,-0.7700824890920576,0.80888586202796,0.13050937703366267,0.4537037037037036,-1.5458668881411504
2011-03-31,1870.0,1.58059606877757,-1.119978826897896,2.2050505416160227,-0.4741336774887395,0.7751136128197708,0.15705972240459554,0.30092592592592593,-1.5036298084754385
2011-04-30,1767.0,1.929217284633551,-1.0888135064510933,2.9462518991274216,-0.3816670178520799,0.7981604806954835,0.1729899296271552,0.23148148148148145,-1.4704549864897178
2011-05-31,1801.0,1.5548480687889221,-1.1040002234898227,2.214526380907966,-0.4688338650782868,0.9060945189634729,0.19582322664615748,0.3055555555555555,-1.4361743371044728
2011-06-30,1767.5,1.381150486207316,-1.1242600884542309,2.230319017991839,-0.48459369915588435,0.7792211464040399,0.2227781487084569,0.32407407407407407,-1.4029995151187522
2011-07-31,1776.0,1.55525654447751,-1.1476546714600513,1.6870522380461979,-0.14150498847353424,0.6534881673407412,0.2388474291686739,0.2407407407407407,-1.3577908979620619
2011-08-31,1779.5,1.478012232698064,-1.2081952101171585,2.7304191923144887,-0.15991455850860972,0.5220504352728426,0.24485435184545323,0.162037037037037,-1.3125822808053713
2011-09-30,1928.0,0.9838938474481643,-1.2803505185478172,1.4627965986739848,-0.24220006229014898,0.621997819334392,0.2503429106364192,0.3194444444444444,-1.268832006137607
2011-10-31,1829.5,1.2618097924906326,-1.1798098498685337,1.4217358065163193,-0.4388484696324716,0.603286340900261,0.2560144213870841,0.26388888888888884,-1.2522539474073164
2011-11-30,1949.0,1.313306104281431,-1.1850398847427672,1.5659753537365038,-0.7638064760917707,0.4161704423493804,0.2618174288587824,0.2407407407407407,-1.2362106647650997
2011-12-31,1936.0,1.1727131376585862,-1.176262774924468,1.4196303143530173,-0.7378656564068012,0.22220884019297973,0.27236289416079984,0.37037037037037035,-1.219632606034809
2012-01-31,1809.0,1.3198454570608666,-1.1310491244436955,1.171159426639675,-0.7819371803148217,0.20623553178009968,0.2829083594628172,0.5138888888888888,-1.1836578287889696
2012-02-29,1767.0,1.7972072964870918,-1.0871058755951255,0.9205827254610066,-0.8140145800940658,-0.11619721946085054,0.30439689872926573,0.45833333333333326,-1.1500040049138298
2012-03-31,1790.0,1.806198438838562,-1.0518078226350682,0.4847060062065125,-1.0525030741049677,0.1834165197616996,0.3000143676946611,0.23148148148148145,-1.1140292276679904
2012-04-30,1762.0,1.6668318347219888,-1.0605188747908179,0.3899501837032736,-0.8181985887609238,0.16287940894513953,0.29577320862891465,0.2407407407407407,-1.1055990743321493
2012-05-31,1791.4000244140625,0.9475195550996847,-1.132765012507482,0.02566662404152819,-0.7809609797249876,0.13321469332121944,0.2913906775943101,0.31481481481481477,-1.0968879158851141
2012-06-30,1781.0,0.7811785884881924,-1.0900095932129275,0.22465410833994906,-0.8857006293024481,0.14234229812857946,0.2871495185285637,0.21296296296296294,-1.088457762549273
2012-07-31,1792.0,1.0721729272760299,-1.0758541208726273,0.3151983039125359,-0.8809587187637927,0.08198612276086838,0.28213081363409703,0.16666666666666663,-1.0992464334200498
