Model,Training Time (s),Prediction Time (s),Training Time (seconds),Prediction Time (seconds)
Linear Regression,0.046109676361083984,0.016256332397460938,,
XGBoost,0.2375965118408203,0.00967550277709961,,
Holt-Winters,0.34337544441223145,0.006478309631347656,,
Prophet,1.9869203567504883,0.19840741157531738,,
SARIMA,7.711856126785278,0.014875650405883789,,
SARIMAX,21.135355949401855,0.014665603637695312,,
"ARIMA(10, 1, 27)",277.8445813655853,0.015322446823120117,,
Random Forest,,,0.5781285762786865,0.017299890518188477
