Model,RMSE,MAE,R²
SARIMAX,395.82354687322305,303.16826527496187,-0.47724614971553736
Holt-Winters,383.65582788838515,321.11085036660216,-0.38782023034527313
Prophet,393.41578641831813,323.20133626118763,-0.4593288890120266
SARIMA,440.6713593467858,337.9880526949362,-0.8309617217643277
"ARIMA(10, 1, 27)",464.7502564930673,342.00848358765415,-1.0365209908165696
Linear Regression,410.9411646296565,345.63311013029596,-0.592241390862027
Random Forest,860.3731107874129,778.0257094319661,-5.97948329961128
XGBoost,1313.1703330552268,1234.0237494574653,-15.258921710121001
